rate_id,rate_date,rate_title,rate_value,traveller_type,seat_type,route,date_flown,seat_comfort,cabin_staff_service,food_beverage,ground_service,value_for_money,recommended
M Karvin,19th November 2021,"""my booked seat is not available""",1,Business,Economy Class,Frankfurt to London,November 2021,0,0,0,1,1,no
Stephen Crompton,15th November 2021,"""penny pinching by BA in club class""",1,Couple Leisure,Business Class,London Heathrow to Tenerife South,November 2021,3,3,1,2,1,no
Richard Hodges,15th November 2021,"""only just about recommend""",5,Couple Leisure,Business Class,Heathrow to Tenerife South,November 2021,2,5,3,3,3,yes
Elizabeth Rossi,14th November 2021,"""They are so unorganized and slow!""",1,Solo Leisure,Economy Class,London to Chicago,November 2021,1,2,2,1,1,no
S Tanya,13th November 2021,"""Customer service is non existent""",2,Solo Leisure,Economy Class,London to Mexico,October 2021,2,3,2,2,2,no
A Merson,13th November 2021,"""their customer service is a shambles""",2,Couple Leisure,Economy Class,Manchester to Nassau via London,October 2021,2,2,2,1,1,no
Ratna Pillai,10th November 2021,"""Poorly mismanaged services""",4,Family Leisure,Economy Class,Mumbai to Dublin via London,November 2021,3,2,2,2,3,no
Hollie Thomas,7th November 2021,"""Their customer service is a shambles""",2,Solo Leisure,Premium Economy,Gibraltar to London,November 2021,4,4,0,1,3,no
J Richards,6th November 2021,"""Good professional crew""",10,Business,Economy Class,Belfast to London,November 2021,4,5,4,4,4,yes
E Smyth,31st October 2021,"""Not dreadful but something for BA to think about""",6,Family Leisure,Business Class,Larnaca to London Heathrow,October 2021,2,4,2,3,3,yes
Paul Frankelh,29th October 2021,"""could not have asked for better service""",10,Couple Leisure,Business Class,Lisbon to London Heathrow,September 2021,4,4,4,5,4,yes
N Cooper,29th October 2021,"""BA at its best""",9,Couple Leisure,Premium Economy,Madrid to London,October 2021,4,5,5,3,5,yes
Rayan Hunjan,25th October 2021,"""boarding was chaos""",7,Family Leisure,Economy Class,London to Bologna,October 2021,5,5,3,2,4,yes
S Lane,24th October 2021,"""This time it was good value""",8,Business,Economy Class,London to Alicante,October 2021,1,4,4,4,5,yes
E Smyth,23rd October 2021,"""nothing bad about food but nothing great either""",8,Family Leisure,Business Class,London to Larnaca,October 2021,3,5,3,4,4,yes
Oliver White,21st October 2021,"""Who’d have thought BA could ever make Ryanair look like an attractive option""",3,Business,Economy Class,Prague to London,October 2021,4,5,0,1,1,no
Lisa Hamblin,20th October 2021,"""it was an absolute delight""",10,Couple Leisure,Economy Class,Male to London,October 2021,5,5,5,5,5,yes
Debra Couto,19th October 2021,"""plane was clean and air quality very good""",6,Solo Leisure,Premium Economy,London to Toronto,October 2021,3,3,4,4,4,yes
P Varlten,18th October 2021,"""Overall a very enjoyable flight""",10,Business,Business Class,London to Toronto,October 2021,5,5,5,5,5,yes
Clifford Oakley,16th October 2021,"""a clear case of BA mis-selling""",1,Solo Leisure,Business Class,London Heathrow to Athens Greece,September 2021,2,4,4,4,1,no
R Webb,14th October 2021,"""voucher is valid for another two years""",1,Solo Leisure,Economy Class,London to Cayman Islands,November 2020,0,0,0,0,1,no
Rohith Jayawardene,7th October 2021,"""Check-in was longer than normal""",2,Family Leisure,Economy Class,London to Prague,October 2021,1,1,1,1,2,no
David Ellis,7th October 2021,"""Drinks and meal service was efficient""",7,Couple Leisure,Business Class,Larnaca to London Heathrow,October 2021,3,4,3,4,4,yes
Jade Bennett,6th October 2021,"""no response to my emails/messages""",1,Couple Leisure,Economy Class,Heathrow to Manchester,August 2021,0,0,0,1,1,no
J Beale,5th October 2021,"""crew were so unorganised""",1,Business,Business Class,London to Jersey,September 2021,2,1,0,1,1,no
K Merlin,4th October 2021,"""impressed with their customer service""",9,Solo Leisure,Premium Economy,Denver to London,October 2021,5,5,0,5,5,yes
R Jay,3rd October 2021,"""ordinary BA domestic flight""",8,Business,Economy Class,Belfast to London,September 2021,4,3,3,4,5,yes
J Makin,2nd October 2021,"""our national flag carrier is being comfortably out performed by budget airlines""",1,Couple Leisure,Economy Class,Manchester to Aberdeen via Heathrow,August 2021,1,1,1,1,1,no
Dominic Lynch,1st October 2021,"""got to the hotel and no dinner for us""",2,Couple Leisure,Business Class,London Heathrow to Tenerife south,September 2021,3,1,2,1,1,no
Sujith Krishnan,26th September 2021,"""Such indifference and lackadaisical attitude""",3,Business,Business Class,London to New York,September 2021,3,1,1,3,4,no
David Ellis,22nd September 2021,"""Post-COVID lunch remains restricted""",7,Couple Leisure,Business Class,London Heathrow to Larnaca,September 2021,3,3,3,3,3,yes
A Vardana,21st September 2021,"""in the air great service""",8,Family Leisure,Business Class,London to Lisbon,September 2021,3,5,4,3,4,yes
R Anderson,21st September 2021,"""No check in staff for Economy""",3,Solo Leisure,Economy Class,Frankfurt to London,September 2021,4,4,1,1,1,no
P Verson,13th September 2021,"""No refund for flights cancelled""",1,Business,Economy Class,Geneva to Sao Paulo via London,October 2020,0,0,0,0,1,no
D Waniko,11th September 2021,"""I wasn't allocated a seat""",2,Family Leisure,Economy Class,Abuja to London,September 2021,0,0,0,1,3,no
G Bartakovics,9th September 2021,"""stupidity of this whole situation""",1,Business,Business Class,Mykonos to New York via London,August 2021,0,0,0,0,1,no
M Himer,8th September 2021,"""lost the connecting flight to Tirana""",1,Solo Leisure,Economy Class,Boston to Tirana London,September 2021,2,3,3,1,3,no
F Jackson,7th September 2021,"""service on the same route is becoming worse""",1,Couple Leisure,Economy Class,Washington Dulles to London,August 2021,1,1,1,1,1,no
David Clark,27th August 2021,"""cancellation two weeks before I was due to travel""",1,Business,Economy Class,Gatwick to Catania,August 2021,0,0,0,0,1,no
Dmitry Kovalenko,26th August 2021,"""the most comfortable seats""",5,Solo Leisure,Economy Class,London to Moscow Domodedovo,August 2021,5,4,1,3,2,yes
R Marston,22nd August 2021,"""value for money here is incredible""",10,Solo Leisure,Economy Class,London to Athens,August 2021,4,5,4,5,5,yes
E Smyth,19th August 2021,"""Food and drinks fine""",8,Family Leisure,Economy Class,London to Corfu,August 2021,4,5,4,4,4,yes
Marie Isma,17th August 2021,"""frustrated, upset and disappointed""",1,Family Leisure,Business Class,Moscow to London Heathrow,August 2021,4,1,2,1,1,no
N Garton,11th August 2021,"""piled into the bus and left""",2,Business,Business Class,London Heathrow to Munich,August 2021,3,2,2,1,2,no
T Gordon,8th August 2021,"""On board staff were good""",6,Couple Leisure,Business Class,London Heathrow to Nice,July 2021,3,4,5,3,3,no
T Lang,27th July 2021,"""cancelled a flight booked three months ago """,1,Family Leisure,Economy Class,London to Hong Kong,April 2021,0,0,0,0,1,no
Andy Magowan,22nd July 2021,"""decided to avoid BA from now on""",1,Solo Leisure,Premium Economy,Belfast to Budapest via Heathrow,July 2021,1,1,0,1,1,no
E Smyth,20th July 2021,"""very slick on board experience""",8,Family Leisure,Business Class,Cancun to Gatwick,July 2021,4,5,5,4,4,yes
E Smyth,13th July 2021,"""Not complete return to old days""",7,Family Leisure,Business Class,Gatwick to Cancun,July 2021,5,5,4,4,5,yes
barbara ciereszko,9th July 2021,"""no refund issued yet""",1,Family Leisure,Economy Class,0,July 2021,0,0,0,0,1,no
Emil Barbon,7th July 2021,"""asking for upgrades to a best seat""",1,Family Leisure,Economy Class,Bucharest to Toronto via London,July 2021,3,3,0,1,2,no
Siddharth Senger,27th June 2021,"""didn't allow us to seat together""",2,Business,Business Class,Seattle to Bangalore via London,June 2021,3,4,0,3,3,yes
I Barton,22nd June 2021,"""uncomfortable, miserly experience """,4,Solo Leisure,Business Class,London to Mexico City,June 2021,1,2,3,3,1,no
David Ellis,13th June 2021,"""Service was a little perfunctory""",8,Couple Leisure,Business Class,Preveza to London,June 2021,4,3,3,5,4,yes
Chris Abbosey,7th June 2021,"""I am really grateful""",9,Solo Leisure,Economy Class,London to Accra,June 2021,4,4,4,4,4,yes
David Ellis,30th May 2021,"""a thoroughly reassuring, coming out of COVID, experience""",9,Couple Leisure,Business Class,London Heathrow to Preveza,May 2021,4,4,4,5,4,yes
R Baker,26th May 2021,"""going in circles to avoid issuing any voucher""",1,Family Leisure,Economy Class,Durban to Cape Town,January 2021,3,3,0,3,1,no
Michael Clark,15th May 2021,"""Fantastic flight down to Heathrow""",9,Solo Leisure,Economy Class,Aberdeen to London Heathrow,May 2021,4,5,4,4,4,yes
P Geare,24th April 2021,"""appreciated the COVID measures""",8,Business,Business Class,Malaga to London,April 2021,3,3,0,4,4,yes
N Pearce,7th April 2021,"""COVID protocols are not as robust as they should be""",5,Solo Leisure,Economy Class,Johannesburg to Cape Town,April 2021,4,5,4,5,4,yes
L Ward,1st April 2021,"""I would need to call up to rebook""",4,Solo Leisure,Economy Class,Gatwick to Cancun,December 2020,2,4,1,3,1,no
F Lewis,14th March 2021,"""had my flight cancelled on 3 occasions""",1,Couple Leisure,Economy Class,Bridgetown to London,February 2021,1,1,1,1,1,no
Anusha Bindu,21st February 2021,"""A poor show with BA""",1,Family Leisure,Economy Class,Ottawa to Ahmedabad,November 2020,1,1,0,1,1,no
Anna Kravtsova,20th February 2021,"""promised to give me compensation""",1,Solo Leisure,Economy Class,Antigua to London,January 2021,2,2,0,1,1,no
G Dimitar,10th February 2021,"""Do not recommend to anyone in Covid restrictions""",1,Solo Leisure,Economy Class,Sofia to London Heathrow,December 2020,5,5,5,5,3,no
Raj Quadros,4th February 2021,"""She was an amazing person""",10,Solo Leisure,Economy Class,Mumbai to London,February 2021,5,5,5,4,5,yes
Jonathan Simpson,21st January 2021,"""not what you'd expect from a premium product""",4,Business,First Class,Mexico City to London Heathrow,January 2021,2,5,1,3,3,no
Adam Bainbridge,30th December 2020,"""Absolutely disgraceful""",1,Family Leisure,Economy Class,London to Maldives,December 2020,0,0,0,0,1,no
P McGirr,27th December 2020,"""Good service the whole way""",9,Solo Leisure,Economy Class,Heathrow to Belfast,December 2020,5,4,4,5,3,yes
Jean-Claude Albrecht,26th December 2020,British Airways customer review,10,Solo Leisure,Economy Class,London to Paris,September 2020,5,5,0,5,5,yes
Nikol Firdzhanova,25th December 2020,"""I do want to thank BA""",10,Solo Leisure,Economy Class,London to Cairo,December 2020,5,5,0,5,4,yes
S Peale,9th December 2020,"""passengers with masks below nose""",4,Solo Leisure,Premium Economy,London Heathrow to Dubai,July 2020,4,1,1,5,5,no
E Smyth,7th December 2020,"""happy with product and would use again""",7,Solo Leisure,Business Class,London to Tenerife,December 2020,3,5,3,4,4,yes
Mahwish Ahsen,2nd December 2020,"""It's not at all child friendly""",3,Family Leisure,Economy Class,London Heathrow to Lahore,December 2020,1,1,1,1,1,no
Victoria Huber,22nd October 2020,"""my experience with BA was very positive""",9,Solo Leisure,Economy Class,London to Venice,October 2020,5,4,3,3,5,yes
L Roberts,22nd October 2020,"""refunded my tickets within 2 working days""",10,Couple Leisure,Economy Class,Munich to London,November 2019,5,5,5,5,5,yes
Gururaj Bolugallu,5th October 2020,"""Everything was nice except food""",5,Family Leisure,Economy Class,London to Bangalore,October 2020,5,5,1,5,2,no
Mateusz Walter,23rd September 2020,"""Everything I expected""",10,Solo Leisure,Business Class,Warsaw to London-Heathrow,September 2020,5,5,5,4,5,yes
Léa Chadfeau,18th September 2020,"""told that the check-in had closed""",1,Couple Leisure,Economy Class,London to Santorini,August 2020,4,4,3,1,2,no
Derek Northcutt,27th August 2020,"""I filed a claim""",1,Couple Leisure,Economy Class,London to Paris,February 2020,2,3,2,5,1,no
J Neiler,8th August 2020,"""lack of social distancing""",2,Business,Economy Class,Berlin to London,August 2020,1,1,2,2,2,no
David Jackson,1st August 2020,"""I was pleasantly surprised""",10,Solo Leisure,Economy Class,Newcastle to London Heathrow,July 2020,5,5,3,5,5,yes
Chelsea Ong,31st July 2020,"""have to call to redeem the voucher""",2,Solo Leisure,Premium Economy,London to Singapore,March 2020,0,0,0,0,1,no
C Beale,23rd July 2020,"""Service is non-existent""",1,Family Leisure,Economy Class,Austin to London,July 2020,0,0,0,0,1,no
S Ward,23rd July 2020,"""BA has failed completely""",1,Solo Leisure,Economy Class,London to Frankfurt,April 2020,0,0,0,0,1,no
Ursula Wingate,11th June 2020,"""This is appalling business practice!""",1,Business,Economy Class,London Heathrow to Lyon,February 2020,1,1,0,1,1,no
Alistair Baker,8th June 2020,"""efficient, clean and punctual""",8,Business,Economy Class,London City to Edinburgh,November 2019,3,4,0,5,3,yes
Justin Richardson,6th June 2020,""" Total rip off""",1,Business,First Class,San Francisco to Edinburgh via London,May 2020,0,0,0,0,1,no
Juliet Ream,4th June 2020,"""totally ripped off by BA""",2,Business,Business Class,Rome to Los Angeles via London,June 2020,0,0,0,0,1,no
Alicia Demos,29th May 2020,"""tickets should have been refunded""",1,Couple Leisure,Economy Class,Chicago to Seville via Miami / Madrid,March 2020,0,0,0,0,1,no
R Mayle,18th May 2020,"""unable to offer a full refund""",1,Solo Leisure,Premium Economy,London to Tel Aviv,April 2020,0,0,0,0,1,no
Bret Baumbaugh,12th May 2020,"""no refund or voucher""",1,Couple Leisure,Business Class,San Diego to Barcelona via London,December 2019,0,0,0,0,1,no
J Mead,10th May 2020,"""withholding my money""",1,Solo Leisure,Economy Class,Toronto to London,May 2020,0,0,0,0,1,no
F Larsen,1st May 2020,"""all about money with them""",1,Family Leisure,Premium Economy,Tokyo to London,March 2020,3,2,1,2,1,no
Derek Northcutt,29th April 2020,"""arrived 3 hrs 25 mins late""",1,Couple Leisure,Economy Class,Los Angeles to Paris via London,March 2020,3,3,2,5,1,no
Alistair Baker,28th April 2020,"""it definitely lived up to my expectations""",10,Couple Leisure,Business Class,London Heathrow to Toronto,February 2020,5,5,5,5,5,yes
Alistair Baker,27th April 2020,"""cabin crew were friendly and professional""",8,Couple Leisure,Business Class,Las Vegas to London Heathrow,February 2020,5,5,5,5,5,yes
E Partani,27th April 2020,"""never use this airline again""",1,Solo Leisure,Economy Class,Sydney to London via Singapore,March 2020,1,1,1,1,1,no
R Keen,25th April 2020,"""avoid BA as much as possible""",2,Business,Economy Class,Zurich to London,April 2020,0,0,0,0,1,no
R Cook,19th April 2020,"""trying every trick in the book""",1,Couple Leisure,Business Class,Vienna to London,February 2020,3,3,0,3,1,no
Mateusz Walter,19th April 2020,"""stands out in many areas""",7,Solo Leisure,Economy Class,London-Heathrow to Warsaw,March 2020,5,5,0,4,3,yes
M Irving,11th April 2020,"""laptop was left inside the flight""",1,Business,Economy Class,Johannesburg to London,March 2020,2,3,2,1,2,no
S Wajani,4th April 2020,"""worst sort of management bureaucracy""",1,Business,Economy Class,London to Stockholm,April 2020,0,0,0,1,1,no
Ivana Baranova,2nd April 2020,"""poor customer service""",1,Solo Leisure,Economy Class,London to Budapest,March 2020,0,0,0,0,1,no
J Meers,2nd April 2020,"""lies and lack of informatio""",3,Solo Leisure,Business Class,Nashville to London via Chicago,March 2020,3,5,4,3,1,no
K Schale,1st April 2020,"""understand the turmoil caused by Covid-19""",1,Solo Leisure,Economy Class,Vancouver to London,March 2020,0,0,0,1,1,no
Greg Woods,31st March 2020,"""A voucher is not sufficient""",2,Family Leisure,Economy Class,London to Marrakesh,August 2019,0,0,0,0,1,no
A Lee,23rd March 2020,"""use the travel credit by May 2020""",3,Couple Leisure,Economy Class,Seattle to Heathrow,March 2020,0,0,0,0,5,no
Felicity Nicol,22nd March 2020,"""thank our crew in particular""",10,Couple Leisure,Premium Economy,Mumbai to London Heathrow,March 2020,5,5,4,5,5,yes
Vic Payne,18th March 2020,"""such deceitful practices""",1,Business,Economy Class,London to Valencia,March 2020,0,0,0,0,1,no
M Lavelle,17th March 2020,"""not surprised they are in trouble""",1,Couple Leisure,Economy Class,London Gatwick to Funchal,March 2020,1,4,0,1,1,no
D Gold,17th March 2020,"""narrow business class facing seats""",1,Business,Business Class,Chicago to London Heathrow,March 2020,1,1,1,1,1,no
D Gold,17th March 2020,"""airline needs major overhaul""",1,Business,Business Class,London to New York JFK,February 2020,1,1,1,1,1,no
Martin Lock,16th March 2020,"""still forcing people to fly to Madrid""",1,Solo Leisure,Economy Class,London to Madrid,March 2020,0,0,0,0,1,no
J Hensen,14th March 2020,"""unfriendly and inconsiderate to me""",3,Business,Economy Class,Frankfurt to Buenos Aires via London,October 2019,2,3,3,1,1,no
David Parsons,13th March 2020,"""live in a conceited bubble""",2,Business,Business Class,London to Paris CDG,March 2020,0,0,0,0,1,no
Anika Bormann,9th March 2020,"""rude staff and service""",1,Couple Leisure,Economy Class,London City to Berlin,March 2020,0,0,0,1,1,no
Adam Wang,8th March 2020,"""BA has really upped their game""",8,Solo Leisure,Economy Class,London to Beijing,January 2020,3,5,4,4,4,yes
Y Chan,6th March 2020,"""friendly and helpful""",9,Family Leisure,Economy Class,Hong Kong to London,January 2020,5,5,5,5,5,yes
Glenn Biffen,5th March 2020,"""Very happy with the service""",9,Couple Leisure,Economy Class,Mumbai to London,March 2020,4,5,5,5,5,yes
Glenn Biffen,5th March 2020,"""positive, friendly attitude""",8,Couple Leisure,Economy Class,London to Delhi,February 2020,4,5,5,2,4,yes
S Gardner,3rd March 2020,"""flights to Italy for March, all cancelled""",2,Business,Business Class,Paris to London,February 2020,1,4,0,1,1,no
Alan Pursch,3rd March 2020,"""never use British Airways again""",1,Solo Leisure,Economy Class,Singapore to London,February 2020,3,3,3,1,1,no
Matthew Osborn,28th February 2020,"""Food and drinks are expensive""",4,Solo Leisure,Economy Class,Gatwick to Malaga,February 2020,2,3,1,3,3,no
Christopher Neep,28th February 2020,"""the crew were outstanding""",10,Solo Leisure,Premium Economy,Vancouver to London,February 2020,4,5,5,4,5,yes
Joe Merieux,27th February 2020,British Airways customer review,3,Business,Business Class,London to Seattle,February 2020,0,0,0,0,1,no
R Vines,26th February 2020,"""food is the standout problem""",6,Solo Leisure,First Class,London Heathrow to Nairobi,February 2020,3,5,1,2,3,no
H Qan,24th February 2020,"""came to me to give me his pillow""",1,Couple Leisure,Premium Economy,Dubai to London,February 2020,1,1,1,1,1,no
Clarissa De Macedo,23rd February 2020,"""service that needs training""",4,Couple Leisure,Business Class,London to Cape Town,February 2020,4,2,1,3,3,no
Gary Waters,21st February 2020,"""packed out seating""",1,Solo Leisure,Economy Class,Rio de Janeiro to London,February 2020,1,3,1,1,2,no
Leani Van Tonder,15th February 2020,"""require a transit visa""",1,Solo Leisure,Economy Class,Johannesburg to Dublin via London,February 2020,1,1,0,1,1,no
R Diaz,14th February 2020,"""backward facing seats""",3,Couple Leisure,Business Class,Las Vegas to Paris via London,February 2020,1,4,3,4,1,no
A Manerides,14th February 2020,"""I want a refund""",1,Couple Leisure,Economy Class,Geneva to Gatwick,January 2020,0,0,0,1,1,no
Angela Vite,5th February 2020,"""crew was amazingly kind and lovely""",9,Solo Leisure,Economy Class,Mexico City to Manchester via London,January 2020,5,5,4,5,4,yes
P Burton,4th February 2020,"""a good experience with no major complaints""",8,Solo Leisure,Business Class,London Heathrow to Sofia,October 2019,4,4,4,5,4,yes
Vahid Etemadmoghadam,2nd February 2020,"""Arriving late to board""",1,Solo Leisure,Economy Class,Manchester to Melbourne via London / Singapore,July 2019,2,3,2,1,1,no
Paul Crosby,1st February 2020,"""a pathetic premium cabin""",3,Business,Business Class,Madrid to London,January 2020,2,3,2,3,2,no
C Hargen,30th January 2020,"""fly this airline again""",7,Family Leisure,Economy Class,Prague to London,January 2020,5,5,0,3,5,yes
David Ellis,29th January 2020,"""breakfast become rather perfunctory""",7,Couple Leisure,Business Class,Johannesburg to London,January 2020,3,4,3,3,3,yes
R Bowen,29th January 2020,"""very disappointing service""",3,Business,Business Class,Las Vegas to Gatwick,January 2020,2,2,2,4,1,no
R Gannon,28th January 2020,"""roller coaster of incompetence""",5,Business,Business Class,San Diego to Stockholm via London,January 2020,5,5,5,1,3,no
David Ellis,28th January 2020,"""SLOW lounge continues to impress""",8,Couple Leisure,Business Class,Cape Town to Johannesburg,January 2020,4,4,3,4,4,yes
Irina Meskovic,28th January 2020,"""thank you for your service and kindness""",10,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen,December 2019,5,5,5,5,5,yes
B Stewart,28th January 2020,"""more than acceptable service""",8,Business,Business Class,Phoenix to London,January 2020,3,5,4,3,5,yes
S Morton,26th January 2020,"""only saving grace was a superb cabin staff""",5,Solo Leisure,Economy Class,London Heathrow to Bangkok,January 2020,2,4,4,4,2,no
Ishan Pai,25th January 2020,"""the service was good""",6,Solo Leisure,Economy Class,Mumbai to Boston via London,January 2020,2,5,5,1,3,yes
Eric Garvin,23rd January 2020,"""refund for seat assignments""",1,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana",December 2019,1,1,1,1,1,no
M Larson,22nd January 2020,"""still consider other airlines""",7,Solo Leisure,Economy Class,Toronto to Geneva via London,January 2020,4,5,4,4,3,yes
A Palomo,21st January 2020,"""sleeping was quite impossible""",9,Solo Leisure,First Class,Hong Kong to London,January 2020,4,5,5,4,4,yes
C Bowen,20th January 2020,"""Layout of Boeing 787 cabin is poor""",3,Business,Economy Class,San Jose to Amsterdam via London,January 2020,1,1,2,2,3,no
M Halten,20th January 2020,"""luggage was not loaded""",1,Couple Leisure,Business Class,Singapore to Paris via London,January 2020,3,4,4,1,2,no
W Heale,20th January 2020,"""Everything went like clockwork""",9,Solo Leisure,Economy Class,Warsaw to London,January 2020,5,5,5,4,5,yes
Matt Barrick,18th January 2020,"""I would recommend BA""",8,Family Leisure,Economy Class,New York  to London Heathrow,January 2020,4,5,3,5,4,yes
Richard Odendaal,18th January 2020,"""never fly BA again""",3,Family Leisure,Economy Class,London to Los Angeles,December 2019,2,1,2,1,3,no
David Ellis,17th January 2020,"""need to move with the times""",7,Couple Leisure,Business Class,Johannesburg to Cape Town,January 2020,3,3,3,4,4,yes
JM Dixte,17th January 2020,"""offer a kids free zone""",2,Business,Business Class,London to Bangkok,January 2020,2,1,1,2,2,no
David Ellis,16th January 2020,"""Overall a good flight""",8,Couple Leisure,Business Class,London to Johannesburg,January 2020,4,4,4,4,4,yes
Ishan Pai,14th January 2020,"""a very comfortable flight""",7,Solo Leisure,Economy Class,Boston to Mumbai via London,December 2019,2,5,4,1,5,yes
A Larman,12th January 2020,"""my husbands seat was broken""",1,Couple Leisure,Business Class,Los Angeles to London,January 2020,1,1,1,1,1,no
M Sanyaitis,12th January 2020,"""My food was bad""",2,Solo Leisure,Premium Economy,Gatwick to Cancun,January 2020,3,1,1,3,2,no
B Edwards,11th January 2020,"""could not fault one aspect of the service""",9,Solo Leisure,Business Class,London Gatwick to Glasgow,January 2020,4,5,4,5,4,yes
Mark Ellwood,11th January 2020,"""All in all great service""",10,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,December 2019,5,5,5,4,5,yes
Imanuel Caushi,11th January 2020,"""disappointed by the service""",3,Business,Business Class,Gatwick to Tirana,January 2020,1,3,2,4,2,yes
A Lee,11th January 2020,"""Crew very friendly""",10,Couple Leisure,Business Class,Keflavik to London Heathrow,January 2020,3,5,5,4,5,yes
Thomas Russell,7th January 2020,"""my food was inedible""",1,Couple Leisure,Economy Class,London Heathrow to Vancouver,January 2020,1,3,1,2,1,no
P Johnsdon,7th January 2020,"""staff were incredibly rude and lazy""",3,Couple Leisure,Economy Class,Tokyo to London Heathrow,January 2020,2,1,1,5,1,no
P Tantram,6th January 2020,"""job's worth high handed attitude""",5,Couple Leisure,Business Class,London to Hong Kong,December 2019,3,4,3,1,3,no
Omid Khodai,6th January 2020,"""They have the worst customer service""",1,Family Leisure,Business Class,Los Angeles to London Heathrow,January 2020,1,3,2,1,1,no
R Easson,5th January 2020,"""BA product is now tired""",3,Solo Leisure,Economy Class,Istanbul to London,January 2020,2,2,0,1,1,no
R Narsion,4th January 2020,"""no sandwiches left to purchase""",2,Solo Leisure,Economy Class,London to Bucharest,December 2019,2,2,1,1,1,no
Mark Ellwood,3rd January 2020,"""another very good flight""",9,Solo Leisure,Business Class,London to Rio De Janeiro,December 2019,5,5,5,4,5,yes
Pavlos Triantafyllidis,30th December 2019,"""don't provide free food and drink""",3,Family Leisure,Economy Class,London to Athens,December 2019,3,1,1,3,4,no
S Harlund,30th December 2019,"""way below expected service""",1,Solo Leisure,Economy Class,Copenhagen to London,December 2019,2,1,1,1,1,no
Anders Pedersen,29th December 2019,"""onboard charity collection is inappropriate""",6,Solo Leisure,Economy Class,Budapest to Billund via London,December 2019,3,3,2,4,3,yes
Joy Vermaak,27th December 2019,"""staff were so friendly""",8,Solo Leisure,Economy Class,Cape Town to Brussels via London,December 2019,3,5,4,4,4,yes
Phil McConnell,27th December 2019,"""comfort and service superb""",9,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,December 2019,5,5,5,4,5,yes
B Meares,24th December 2019,"""good overall experience""",7,Solo Leisure,Business Class,Sofia to London,October 2019,3,4,4,3,4,yes
Veronica McQueen,24th December 2019,"""cabin crew were very friendly""",10,Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,December 2019,5,5,5,5,5,yes
T Keilenberg,22nd December 2019,"""delayed by 20 mins""",1,Solo Leisure,Economy Class,London to Munich,December 2019,2,1,0,1,1,no
S Yee,21st December 2019,"""middle name was not on her ticket""",1,Family Leisure,Economy Class,Hong Kong to London,December 2019,0,0,0,0,2,no
Jessica Tupper,18th December 2019,"""charged 4 times for one bag""",1,Couple Leisure,Economy Class,London to Paris,August 2019,2,2,0,1,1,no
Neil Jeram,18th December 2019,"""cabin manager did not greet me""",4,Business,Economy Class,New York to London,December 2019,2,2,1,5,5,no
Nick Healing,16th December 2019,"""no proof I paid for them""",1,Family Leisure,Premium Economy,Austin to London,October 2019,0,0,0,0,1,no
Adrian Elliott,15th December 2019,"""Awful airline""",1,Couple Leisure,Economy Class,Frankfurt to London,December 2019,1,1,1,1,1,no
Robert Davis,14th December 2019,""" Flight is again delayed""",1,Solo Leisure,Economy Class,London to Glasgow,December 2019,1,1,1,1,1,no
B Stewart,13th December 2019,"""This flight was a delight""",9,Business,Business Class,London to San Francisco,December 2019,3,5,4,5,4,yes
Andrew Allen,11th December 2019,"""we had to print out boarding passes""",1,Couple Leisure,Economy Class,Heathrow to Belfast,December 2019,2,5,5,1,3,no
D Corey,10th December 2019,"""You get what you pay for""",9,Solo Leisure,Business Class,London to Singapore,October 2019,4,5,5,5,5,yes
Giovanni Giorgis,8th December 2019,"""Awful, rude airline""",1,Business,Economy Class,Toulouse to London,November 2019,1,1,0,3,1,no
Mike Andrésen,8th December 2019,"""Seats the same as economy""",8,Solo Leisure,Business Class,London Heathrow to Stockholm,November 2019,3,5,5,5,4,yes
Cheryl Damen,8th December 2019,"""we had limited recline seats seats""",1,Family Leisure,Economy Class,Johannesburg to London,November 2019,1,3,3,2,1,no
David Ellis,8th December 2019,"""Overall a good flight""",7,Couple Leisure,Business Class,Johannesburg to London,December 2019,3,3,3,3,4,yes
Mike Andrésen,8th December 2019,"""crew are so friendly""",9,Solo Leisure,First Class,London Heathrow to Miami,November 2019,4,5,5,5,5,yes
Mike Andrésen,8th December 2019,"""excellent with service""",8,Solo Leisure,Business Class,Stockholm to London Heathrow,November 2019,3,5,5,5,4,yes
Cameron Martin,8th December 2019,"""cabin crew where fantastic""",8,Couple Leisure,Economy Class,London to Sydney via Singapore,November 2019,3,4,4,3,4,yes
D Jonas,4th December 2019,"""utter nightmares""",1,Couple Leisure,Business Class,London to New York JFK,November 2019,1,4,3,1,1,no
A Ward,4th December 2019,"""the shortage of staff""",3,Solo Leisure,Business Class,Gatwick to Bridgetown,December 2019,3,2,3,3,2,no
Everardus Hamans,2nd December 2019,"""lacks personalized attention""",5,Business,Business Class,Brussels to Bangkok via London,November 2019,4,2,2,4,3,no
A Varsen,28th November 2019,"""missed my connecting flight""",1,Business,Economy Class,San Francisco to Oslo via London,November 2019,1,2,2,1,1,no
M Natarova,27th November 2019,"""said that I need to check my baggage""",4,Couple Leisure,Economy Class,Los Angeles to Berlin via London,November 2019,3,1,0,1,1,no
